================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               912.7        978.7      +66.0 (+7.2%)
Z3 time (s)                1595.7       1546.5      -49.3 (-3.1%)
Z3 rlimit                  2763.5       2646.4     -117.1 (-4.2%)
Queries                     26189        26163        -26 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
--------------------------------------------------------------------------------------------------------------
Pulse.Checker.While                           5      5      +0      218.7     186.1     -14.9%      44.2     37.3
RBTreeIntrinsic                              86     86      +0      125.4     105.2     -16.1%      90.7     77.4
BoolRefinement                              180    180      +0      100.2      85.7     -14.4%      43.6     34.8
Protocol                                     73     73      +0       23.2      11.6     -49.8%      19.4      8.9
Pulse.Lib.Swap.Slice                         65     63      -2       22.1      14.3     -35.5%       6.8      5.1
Pulse.Lib.InsertionSort                      80     80      +0       29.8      22.3     -25.3%       9.4      6.8
StringMatching                               39     39      +0       11.1       3.6     -67.2%       6.2      3.2
Pulse.Lib.Swap.Array                        103    103      +0       21.6      14.7     -31.8%       7.0      5.2
DependentBoolRefinement                     174    174      +0       55.5      49.3     -11.2%      22.1     22.0
BinomialQueue                                79     79      +0      130.4     124.9      -4.2%      74.9     64.8
Pulse.Checker.Prover                        116    116      +0       23.8      18.6     -21.5%       5.0      5.3
Pulse.Lib.PriorityQueue                     304    284     -20       36.3      32.0     -11.7%      13.0     11.7
AlgHeap                                      60     60      +0       14.2      10.1     -28.9%       9.2      5.7
Lib.Sequence.Lemmas                         177    177      +0       14.0      11.3     -19.3%      17.6     17.7
OPLSS2021.IFC                                45     45      +0        7.1       4.4     -38.1%       4.3      2.7
Sec2.IFC                                     47     47      +0        7.0       4.4     -36.6%       4.3      2.8
Pulse.Checker.Match                          32     32      +0        8.9       6.8     -23.1%       2.5      3.0
FStar.Seq.Properties                        310    310      +0       13.3      11.9     -10.7%       5.7      5.0
Pulse.Checker.Base                           64     64      +0       18.9      17.6      -6.8%       4.0      4.8
Sec2.HIFC                                    69     69      +0       12.6      11.5      -9.2%       6.0      5.1
MonotonicArray                              109    109      +0        5.2       4.1     -21.9%       4.1      3.1
Pulse.Checker                                 7      7      +0       46.8      45.6      -2.4%       7.0      7.2
Pulse.Checker.Abs                            12     12      +0        6.5       5.4     -17.4%       1.9      2.3
GC                                           18     18      +0        3.6       2.6     -28.3%       1.8      1.3
IfcExample                                    6      6      +0        2.9       1.9     -34.4%       2.0      1.2
Pulse.Lib.HashTableChained                  493    493      +0       42.0      41.1      -2.1%      13.8     14.4
Pulse.Checker.WithLocal                       4      4      +0        9.5       8.7      -8.7%       1.9      2.6
Pulse.Checker.AssertWithBinders              22     22      +0        7.6       6.7     -10.8%       2.0      2.1
Pulse.Checker.ForwardJumpLabel                5      5      +0        4.9       4.2     -14.7%       1.0      1.3
Pulse.Lib.Sort.Merge.Spec                    48     48      +0       14.1      13.5      -4.4%       4.4      5.5
QuickSort.Seq                                 4      4      +0        1.5       0.9     -37.7%       1.0      0.8
ExtractionTest                               68     68      +0        2.1       1.6     -24.6%       1.6      1.2
Setoids                                      84     84      +0       20.1      19.6      -2.5%      17.2     13.7
FStar.Sequence.Base                         134    134      +0        7.8       7.4      -5.3%       2.7      2.8
Pulse.Checker.Bind                            3      3      +0        2.3       2.0     -15.5%       0.8      0.7
Example.Hashtable                             4      4      +0        1.1       0.7     -32.8%       0.8      0.6
Pulse.Typing.Env                            101    101      +0        4.6       4.3      -7.4%       1.9      2.1
Pulse.Checker.If                              4      4      +0        2.1       1.8     -13.6%       0.7      0.8
Pulse.Checker.Pure                           33     33      +0        3.8       3.5      -7.2%       1.2      1.5
Pulse.Lib.Array.Core                        209    209      +0       29.8      29.6      -0.9%       9.7     10.8
Pulse.Checker.Exists                          4      4      +0        7.4       7.1      -3.7%       2.0      3.1
FStar.OrdSet                                233    233      +0       17.9      17.7      -1.5%       5.5      5.9
Pulse.Typing.Combinators                     23     23      +0        5.2       4.9      -4.9%       2.0      2.8
FStar.DM4F.IntST                             22     22      +0        1.3       1.0     -19.7%       1.3      1.0
BorrowsExample                               40     40      +0        1.0       0.8     -19.9%       0.9      0.8
FStar.FiniteSet.Base                         63     63      +0       13.7      13.5      -1.4%       3.0      3.4
Pulse.Lib.LinkedList                        254    254      +0        9.8       9.6      -1.8%       4.1      4.6
STLC.Core                                    70     70      +0        5.1       4.9      -2.8%       4.1      3.7
FStar.Seq.Base                               97     97      +0        2.8       2.7      -4.7%       1.5      1.2
AlgWP                                        78     78      +0       15.1      15.0      -0.8%      20.3      8.2
Pulse.Lib.ResizableVec                       65     65      +0        1.3       1.2      -8.9%       0.8      0.9
TypeclassesAlt3                              15     15      +0        3.4       3.3      -3.1%       2.8      2.4
BinarySearch                                 16     16      +0        0.4       0.3     -28.0%       0.4      0.4
Pulse.Lib.Sort.Merge.Slice                   92     92      +0       12.0      12.0      -0.8%       3.3      3.4
FStar.Endianness                            125    125      +0       23.4      23.3      -0.4%       6.7      7.4
FStar.Fin                                    26     26      +0        2.2       2.1      -4.0%       0.8      0.9
FStar.Math.Euclid                            39     39      +0        1.2       1.1      -6.7%       0.7      0.7
FStar.Array                                  39     39      +0        1.0       0.9      -7.3%       0.6      0.5
FStar.Universe.PCM                            2      2      +0        0.5       0.4     -11.4%       0.2      0.1
Pulse.Typing                                 33     33      +0        1.5       1.4      -3.6%       0.6      0.7
Pulse.Lib.OnRange                           197    197      +0        2.7       2.6      -2.0%       1.7      2.3
Unification                                  81     81      +0        4.5       4.5      -1.0%       3.2      3.3
FStar.Seq.Equiv                              19     19      +0        2.1       2.1      -2.1%       0.6      0.7
Pulse.Checker.Defer                           1      1      +0        1.0       0.9      -4.1%       0.4      0.5
FStar.Sequence.Permutation                   22     22      +0        3.0       3.0      -1.3%       1.2      1.3
ArrayUtils                                   11     11      +0        0.2       0.2     -19.1%       0.3      0.3
HoareSTPolyBind                              24     24      +0        0.5       0.5      -6.9%       0.8      0.7
Pulse.Lib.Array.PtsToRange                  120    120      +0        2.8       2.8      -1.2%       1.6      1.9
HoareST                                      15     15      +0        0.4       0.4      -7.5%       0.6      0.7
FStar.DM4F.Heap.ST                           58     58      +0        0.9       0.9      -3.4%       1.1      1.2
Pulse.Lib.Sort.Merge.Array                   84     84      +0        7.0       7.0      -0.4%       2.0      2.4
LambdaOmega                                 237    237      +0        9.9       9.9      -0.3%       7.1      6.8
Pulse.C.Types.Array                          92     92      +0        2.2       2.1      -1.1%       1.1      1.4
FStar.Reflection.V2.Arith                    46     46      +0        0.8       0.8      -3.0%       0.3      0.4
Pulse.Lib.Array.PtsTo                       102    102      +0        1.6       1.6      -1.4%       0.8      1.0
Postprocess                                  61     59      -2        0.4       0.3      -5.5%       1.0      1.2
Alex                                          2      2      +0        0.1       0.1     -17.4%       0.3      0.3
Pulse.JoinComp                               16     16      +0        2.2       2.2      -0.5%       1.1      1.4
AlexOpaque                                    8      8      +0        0.3       0.2      -4.8%       0.5      0.5
Pulse.Lib.Reference.Array                    16     16      +0        0.2       0.2      -4.1%       0.2      0.2
FStar.Monotonic.Heap                        148    148      +0       11.1      11.1      -0.1%       2.8      2.5
Pulse.Checker.Rewrite                         4      4      +0        0.5       0.5      -1.4%       0.3      0.5
MatchRest                                    27     26      -1        0.1       0.1      -8.0%       0.4      0.4
TestShift                                     7      7      +0        1.8       1.8      -0.4%       1.3      1.4
TestWellFoundedRecursion                     33     33      +0        0.5       0.4      -1.5%       1.7      1.2
X64.Vale.Decls                               50     50      +0      138.5     138.5      -0.0%     216.9    206.6
ND                                           29     29      +0        0.7       0.7      -0.8%       0.7      0.6
Pulse.ElimGoto                                8      8      +0        0.8       0.8      -0.5%       0.4      0.6
Pulse.Elaborate                              10     10      +0       22.9      22.9      -0.0%       4.7      5.8
Pulse.Lib.ArrayPtr                          159    159      +0        3.5       3.5      -0.1%       1.7      2.3
Pulse.Syntax.Naming                         131    131      +0       85.9      85.9      -0.0%      25.5     38.5
MRefHeap                                     15     15      +0        0.4       0.4      -0.7%       0.5      0.5
Pulse.Reflection.Util                         7      7      +0        0.4       0.4      -0.8%       0.2      0.2
QuickTestNBE                                 60     59      -1        0.5       0.5      -0.6%       3.0      2.5
Pulse.Lib.GhostFractionalTable               48     48      +0        2.0       2.0      -0.1%       0.8      1.4
Pulse.Lib.Reference                         132    132      +0        2.3       2.3      -0.1%       1.4      1.4
Pulse.Checker.Prover.RewritesTo               5      5      +0        0.2       0.1      -1.3%       0.1      0.2
Pulse.Lib.GhostSet                           12     12      +0        0.3       0.3      -0.7%       0.1      0.2
TypeclassesAlt2                              15     15      +0        0.5       0.5      -0.4%       0.7      0.9
FStar.DM4F.Heap                             106    106      +0        2.5       2.5      -0.0%       2.3      2.2
FStar.DM4F.MonadLaws                         14     14      +0        0.6       0.6      -0.2%       0.6      0.5
Pulse.Checker.Admit                           2      2      +0        1.1       1.1      -0.1%       0.3      0.4
AllocSTwHeaps                                12     12      +0        0.2       0.2      -0.6%       0.5      0.4
BangBang                                     12     12      +0        0.3       0.3      -0.3%       0.3      0.3
Bug2614                                       5      5      +0        0.0       0.0      -5.0%       0.2      0.2
FStar.DM4F.Heap.Random                       22     22      +0        0.2       0.2      -0.6%       0.4      0.5
FStar.Reflection.V2.Derived.Lemmas           11     11      +0        0.6       0.6      -0.2%       0.3      0.3
ImmutableST                                  16     16      +0        0.1       0.1      -0.8%       0.3      0.3
MRefST                                       21     21      +0        0.3       0.3      -0.3%       0.3      0.3
OPLSS2021.IFC.IST                             3      3      +0        0.0       0.0      -2.6%       0.0      0.0
Pulse.Checker.Goto                            2      2      +0        0.3       0.3      -0.3%       0.2      0.3
Pulse.Checker.IntroPure                       1      1      +0        0.1       0.1      -0.9%       0.2      0.3
Pulse.Checker.Prover.Match.MKeys              7      7      +0        0.8       0.8      -0.1%       0.3      0.4
Pulse.Lib.Trade.Util                         14     14      +0        0.1       0.1      -1.0%       0.1      0.2
Sec2.IFC.IST                                  3      3      +0        0.0       0.0      -2.6%       0.0      0.0
AutoPatterns                                  1      1      +0        0.0       0.0     -12.5%       0.1      0.2
IntervalIntersect                            17     17      +0        2.9       2.9      -0.0%       1.7      1.8
Pulse.Recursion                               8      8      +0        3.5       3.5      -0.0%       0.7      1.0
Ex07a                                        59     59      +0        3.4       3.4      -0.0%       2.4      2.0
Ex07d                                        69     69      +0        3.5       3.5      -0.0%       2.4      2.2
Ex06b                                        18     18      +0        1.7       1.7      -0.0%       1.2      1.2
Ex04e                                        13     13      +0        0.1       0.1      -0.0%       0.3      0.5
Ex04b                                         5      5      +0        0.1       0.1      -0.0%       0.5      0.4
Ex04f                                         7      7      +0        0.1       0.1      -0.0%       0.4      0.4
AdHocEffectPolymorphism                      10     10      +0        0.0       0.0      +0.0%       0.3      0.3
Add                                           8      8      +0        0.1       0.1      +0.0%       0.4      0.4
AdmitKrml                                     2      2      +0        0.0       0.0      +0.0%       0.3      0.2
AdmitTermination                              1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Alg                                          92     92      +0       10.9      10.9      +0.0%       5.6      6.0
Alg.Alg                                       3      3      +0        0.0       0.0      +0.0%       0.0      0.0
AlgForAll.AlgWP                               3      3      +0        0.1       0.1      +0.0%       0.1      0.0
AlgHeap.Alg                                   3      3      +0        0.0       0.0      +0.0%       0.0      0.0
AlgHeap.AlgPP                                 1      1      +0        0.0       0.0      +0.0%       0.0      0.0
AlgHeap.AlgWP                                 3      3      +0        0.0       0.0      +0.0%       0.0      0.0
AlgWP.AlgPP                                   1      1      +0        0.0       0.0      +0.0%       0.0      0.0
AlgWP.AlgWP                                   3      3      +0        0.1       0.1      +0.0%       0.2      0.0
AllocST                                      13     13      +0        0.1       0.1      +0.0%       0.2      0.3
AnnoyingVCs                                   2      2      +0        0.0       0.0      +0.0%       0.0      0.0
ApplicationUnparenthesisedRecord              4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Arith                                        41     41      +0        0.6       0.6      +0.0%       1.5      1.6
Array                                         5      5      +0        0.0       0.0      +0.0%       0.2      0.3
ArrayRealized                                13     13      +0        0.1       0.1      +0.0%       0.2      0.2
ArrayTests                                  180    180      +0        5.1       5.1      +0.0%       3.5      3.4
Asm1                                         13     13      +0        0.5       0.5      +0.0%       0.4      0.5
Asm2                                          1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Automation                                    9      9      +0        0.0       0.0      +0.0%       0.2      0.1
BQual                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.1
BUGSLowParseWriters                           9      9      +0        0.1       0.1      +0.0%       0.4      0.4
BUGSLowParseWriters.ERead                     3      3      +0        0.0       0.0      +0.0%       0.0      0.0
BV                                           48     48      +0        0.4       0.4      +0.0%       0.5      0.6
BV.Test                                      12     12      +0        0.0       0.0      +0.0%       0.2      0.3
BVExtend                                      4      4      +0        8.4       8.4      +0.0%       2.2      1.6
Backtracking                                  4      4      +0        0.0       0.0      +0.0%       0.1      0.1
BasicTests                                    5      5      +0        0.0       0.0      +0.0%       0.1      0.2
Benton2004.Aux                                1      1      +0        0.0       0.0      +0.0%       0.1      0.1
BigList                                       1      1      +0        0.2       0.2      +0.0%       0.4      0.4
Bijection                                     1      1      +0        0.0       0.0      +0.0%       0.2      0.2
BinarySearchTree                              9      9      +0        0.4       0.4      +0.0%       0.3      0.3
BinarySearchTree0                             6      6      +0        0.0       0.0      +0.0%       0.2      0.2
BinarySearchTreeBasic                        22     22      +0        7.7       7.7      +0.0%       5.1      4.7
BinarySearchTreeFirst                         5      5      +0        0.2       0.2      +0.0%       0.2      0.3
BinaryTrees                                  46     46      +0        1.2       1.2      +0.0%       1.1      1.0
BinderAttributes                             12     12      +0        0.1       0.1      +0.0%       0.2      0.2
BoxBitVec                                     2      2      +0        0.0       0.0      +0.0%       0.3      0.1
Branch                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Break                                        60     60      +0        1.5       1.5      +0.0%       1.2      1.1
Bug.Invariants                               10     10      +0        0.1       0.1      +0.0%       0.3      0.3
Bug019                                        5      5      +0        0.1       0.1      +0.0%       0.3      0.6
Bug022                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug024                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug025                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug026                                        8      8      +0        0.2       0.2      +0.0%       0.4      0.4
Bug026b                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug043                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug044                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug052                                        3      3      +0        0.0       0.0      +0.0%       0.4      0.3
Bug058                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.4
Bug058b                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug067                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug077                                        5      5      +0        0.0       0.0      +0.0%       0.5      0.3
Bug102                                        5      5      +0        0.0       0.0      +0.0%       0.4      0.4
Bug102b                                       4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1055                                       3      3      +0        0.0       0.0      +0.0%       0.1      0.1
Bug1070                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
