================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
--------------------------------------------------------------------------------------------------------------
Pulse.Checker.While                           5      5      +0      215.5     193.5     -10.2%      46.9     42.6
RBTreeIntrinsic                              87     87      +0      179.3     160.4     -10.6%      99.5    122.1
Protocol                                     73     73      +0       25.8      11.4     -55.8%      19.4     15.7
BoolRefinement                              180    180      +0       96.1      84.8     -11.7%      38.9     65.9
StringMatching                               39     39      +0       15.1       3.9     -74.2%       8.2      3.6
Pulse.Lib.Swap.Slice                         65     63      -2       22.1      14.3     -35.5%       6.8      5.2
Pulse.Lib.InsertionSort                      80     80      +0       29.8      22.3     -25.3%      10.0      7.6
DependentBoolRefinement                     174    174      +0       58.9      51.4     -12.7%      26.9     35.4
Pulse.Lib.Swap.Array                        103    103      +0       21.6      14.7     -31.8%       6.8      5.1
Pulse.Lib.HashTable.Spec                    253    253      +0       43.7      37.5     -14.2%      13.4     12.2
Pulse.Checker.WithLocalArray                  6      6      +0       41.8      36.6     -12.3%       6.8      6.7
BinomialQueue                                79     79      +0      130.9     126.1      -3.7%      76.5    106.5
AlgHeap                                      60     60      +0       14.2      10.1     -28.9%       7.3      6.3
Pulse.Lib.PriorityQueue                     304    284     -20       36.2      32.2     -10.9%      13.1     12.1
Lib.Sequence.Lemmas                         177    177      +0       14.0      11.3     -19.3%      18.7     18.7
OPLSS2021.IFC                                45     45      +0        7.1       4.4     -38.2%       3.7      2.5
Sec2.IFC                                     47     47      +0        7.0       4.4     -36.6%       4.1      2.9
Pulse.Lib.HashTableChained                  493    493      +0       42.6      40.3      -5.5%      13.3     12.2
Pulse.Checker                                 7      7      +0       43.7      41.6      -4.9%       6.6      6.9
FStar.Seq.Properties                        310    310      +0       15.6      13.5     -13.1%       5.7      5.7
Pulse.Checker.Match                          32     32      +0        9.3       7.2     -21.7%       2.6      2.3
Pulse.Checker.Base                           64     64      +0       18.8      17.1      -8.8%       4.1      4.1
Pulse.Typing.FV                              70     70      +0       56.0      54.4      -2.9%      12.6     12.6
Pulse.Main                                   10     10      +0        5.4       3.8     -29.2%       2.2      1.9
Pulse.Checker.Prover                        116    116      +0       20.3      18.7      -7.4%       5.0      5.0
QuickSort.Seq                                 4      4      +0        2.3       0.8     -64.1%       1.5      0.7
Sec2.HIFC                                    69     69      +0       12.6      11.5      -9.3%       5.3      6.4
GC                                           18     18      +0        3.6       2.6     -28.3%       1.9      1.3
MonotonicArray                              109    109      +0        5.3       4.3     -18.6%       3.7      3.4
Pulse.Checker.AssertWithBinders              22     22      +0        7.7       6.9     -10.5%       1.9      1.8
IfcExample                                    6      6      +0        2.9       2.1     -27.2%       4.7      5.6
ExtractionTest                               68     68      +0        2.1       1.6     -25.7%       1.5      2.5
Pulse.Checker.ForwardJumpLabel                5      5      +0        4.9       4.4     -10.9%       1.2      1.0
Setoids                                      84     84      +0       20.1      19.6      -2.5%      20.4     35.9
FStar.OrdSet                                233    233      +0       18.3      17.8      -2.6%       5.8      5.6
IfcRules                                     16     16      +0        4.9       4.4      -9.8%       3.0     10.0
FStar.Seq.Base                               97     97      +0        3.4       2.9     -13.7%       1.6      1.2
Pulse.Checker.WithLocal                       4      4      +0        9.0       8.6      -4.5%       1.9      1.7
FStar.Sequence.Base                         134    134      +0        7.8       7.4      -5.1%       2.5      2.7
Pulse.Typing.Env                            101    101      +0        5.0       4.6      -7.6%       2.1      2.0
Pulse.Checker.Bind                            3      3      +0        2.3       2.0     -15.5%       0.7      0.7
Pulse.Checker.Abs                            12     12      +0        5.9       5.6      -5.8%       1.9      1.9
Pulse.Checker.If                              4      4      +0        2.1       1.8     -13.7%       0.7      0.7
FStar.DM4F.IntST                             22     22      +0        1.3       1.0     -19.7%       1.1      1.1
BorrowsExample                               40     40      +0        1.0       0.8     -22.9%       0.9      0.8
Pulse.Checker.Exists                          4      4      +0        7.0       6.8      -3.1%       2.1      1.9
FStar.FiniteSet.Base                         63     63      +0       13.7      13.5      -1.4%       3.2      3.2
AlgWP                                        78     77      -1       15.1      14.9      -1.2%      17.1     24.5
STLC.Core                                    70     70      +0        5.1       5.0      -2.8%       3.4      3.6
Example.Hashtable                             4      4      +0        1.0       0.8     -13.9%       0.6      0.6
Pulse.Lib.ResizableVec                       65     65      +0        1.4       1.2      -8.7%       0.8      0.8
BinarySearch                                 16     16      +0        0.4       0.3     -30.3%       0.4      0.4
DelimitedRelease                              6      3      -3        0.2       0.1     -50.4%       0.4      0.2
Pulse.Lib.Array.PtsToRange                  120    120      +0        3.0       2.9      -3.5%       1.5      1.7
Pulse.Lib.Sort.Merge.Slice                   92     92      +0       12.0      12.0      -0.8%       3.4      3.7
Pulse.Checker.Pure                           33     33      +0        3.8       3.7      -2.4%       1.3      1.4
FStar.Endianness                            125    125      +0       23.4      23.3      -0.4%       6.8      6.9
FStar.Math.Euclid                            39     39      +0        1.2       1.1      -6.7%       0.7      0.7
Pulse.Typing.Combinators                     23     23      +0        5.1       5.1      -1.5%       2.0      2.0
FStar.Array                                  39     39      +0        1.0       0.9      -7.3%       0.4      0.5
FStar.Universe.PCM                            2      2      +0        0.5       0.4     -11.4%       0.2      0.1
Unification                                  81     81      +0        4.5       4.4      -1.2%       2.7      2.9
Pulse.Typing                                 33     33      +0        1.5       1.5      -3.5%       0.8      0.6
Pulse.Lib.OnRange                           197    197      +0        2.7       2.6      -2.0%       1.5      1.7
FStar.Seq.Equiv                              19     19      +0        2.1       2.1      -2.1%       0.6      0.6
FStar.Sequence.Permutation                   22     22      +0        3.0       3.0      -1.3%       1.2      1.2
ArrayUtils                                   11     11      +0        0.2       0.2     -18.4%       0.3      0.4
HoareSTPolyBind                              24     24      +0        0.5       0.5      -6.9%       0.7      0.8
Pulse.Checker.Defer                           1      1      +0        1.0       0.9      -3.5%       0.4      0.4
FStar.DM4F.Heap.ST                           58     58      +0        0.9       0.9      -3.5%       1.3      1.3
HoareST                                      15     15      +0        0.4       0.4      -7.5%       0.7      0.6
Pulse.Lib.Sort.Merge.Array                   84     84      +0        7.0       7.0      -0.4%       2.4      2.5
Pulse.Lib.ArrayPtr                          159    159      +0        3.5       3.5      -0.8%       1.5      1.8
Pulse.C.Types.Array                          92     92      +0        2.2       2.1      -1.1%       1.1      1.1
FStar.Reflection.V2.Arith                    46     46      +0        0.8       0.8      -3.0%       0.3      0.3
Pulse.Lib.Array.PtsTo                       102    102      +0        1.6       1.6      -1.4%       1.0      0.9
Part3.DataTypesALaCarte                      37     37      +0       18.1      18.1      -0.1%      10.9     29.0
Pulse.Lib.BoundedIntegers                    31     31      +0        2.5       2.5      -0.6%       1.1      1.1
Alex                                          2      2      +0        0.1       0.1     -17.4%       0.3      0.4
Pulse.JoinComp                               16     16      +0        2.2       2.2      -0.7%       1.1      1.1
AlexOpaque                                    8      8      +0        0.3       0.2      -4.8%       0.5      0.5
Pulse.Lib.Reference.Array                    16     16      +0        0.3       0.2      -3.6%       0.2      0.2
TestShift                                     7      7      +0        1.8       1.8      -0.4%       1.5      1.6
TestWellFoundedRecursion                     33     33      +0        0.5       0.4      -1.6%       1.1      2.6
ND                                           29     29      +0        0.7       0.7      -0.8%       0.6      0.6
Pulse.ElimGoto                                8      8      +0        0.8       0.8      -0.6%       0.4      0.4
MRefHeap                                     15     15      +0        0.5       0.5      -1.0%       0.5      0.6
Pulse.Checker.Rewrite                         4      4      +0        0.5       0.5      -0.8%       0.3      0.3
Pulse.Lib.Reference                         132    132      +0        2.3       2.3      -0.2%       1.4      1.2
Pulse.Lib.Sort.Merge.Spec                    48     48      +0       14.1      14.1      -0.0%       5.2      5.6
FStar.Monotonic.Heap                        148    148      +0       11.2      11.2      -0.0%       2.8      2.8
Pulse.Lib.Deque                             306    306      +0        5.3       5.3      -0.1%       3.2      3.6
